"Tabla","Codigo","Nombre","Descripcion","Habilitado","Aplicacion","IsStandardGEL","IsStandardMSPS","Extra_I:AplicaASexo","Extra_II:EdadMinima","Extra_III:EdadMaxima","Extra_IV:GrupoMortalidad","Extra_V","Extra_VI:Capitulo","Extra_VII:Grupo","Extra_VIII:SubGrupo","Extra_IX:Categoria","Extra_X:Sexo","ValorRegistro","UsuarioResponsable","Fecha_Actualizacion","IsPublicPrivate"
"CIE10","A000","COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE","COLERA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A00","","1","0","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A001","COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR","COLERA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A00","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A009","COLERA, NO ESPECIFICADO","COLERA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A00","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A010","FIEBRE TIFOIDEA","FIEBRES TIFOIDEA Y PARATIFOIDEA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A01","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A011","FIEBRE PARATIFOIDEA A","FIEBRES TIFOIDEA Y PARATIFOIDEA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A01","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A012","FIEBRE PARATIFOIDEA B","FIEBRES TIFOIDEA Y PARATIFOIDEA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A01","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A013","FIEBRE PARATIFOIDEA C","FIEBRES TIFOIDEA Y PARATIFOIDEA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A01","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A014","FIEBRE PARATIFOIDEA, NO ESPECIFICADA","FIEBRES TIFOIDEA Y PARATIFOIDEA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A01","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A020","ENTERITIS DEBIDA A SALMONELLA","OTRAS INFECCIONES DEBIDAS SALMONELLA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A02","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A021","SEPSIS DEBIDA A SALMONELLA","OTRAS INFECCIONES DEBIDAS SALMONELLA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A02","","1","","A","","","2025-11-23 04:08:45 PM",""
