    "Tabla","Codigo","Nombre","Descripcion","Habilitado","Aplicacion","IsStandardGEL","IsStandardMSPS","Extra_I:Cobertura","Extra_II","Extra_III","Extra_IV","Extra_V","Extra_VI","Extra_VII","Extra_VIII","Extra_IX","Extra_X","ValorRegistro","UsuarioResponsable","Fecha_Actualizacion","IsPublicPrivate"
"CUPS","010101","PUNCIÓN CISTERNAL- VÍA LATERAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.1.01","010101","PUNCIONES EN CISTERNA","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010102","PUNCIÓN CISTERNAL- VÍA MEDIAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.1.02","010102","PUNCIONES EN CISTERNA","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010103","PUNCIÓN CISTERNAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.1.03","010103","PUNCIONES EN CISTERNA","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010201","PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.2.01","010201","PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010202","PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR POR TREPANACIÓN (SIN CATÉTER)","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.2.02","010202","PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010203","PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE UN RESERVORIO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.2.03","010203","PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010204","PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR- VÍA TRANSFONTANELAR","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.2.04","010204","PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010205","PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.2.05","010205","PUNCIONES (ASPIRACIÓN DE LÍQUIDO) EN VENTRÍCULOS","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010901","PUNCIÓN SUBDURAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.9.01","010901","PUNCIÓN CRANEAL","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","010902","OTRA PUNCIÓN CRANEAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.0.9.02","010902","PUNCIÓN CRANEAL","INCISIÓN DE CRÁNEO (PUNCIONES EN CRÁNEO)","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
